Subjects,alpha_rw,beta_rw,alpha_rwck_rw,beta_rwck_rw,alpha_rwck_ck,beta_rwck_ck,alpha_ck,beta_ck,epsilon,b
27,0.127457975983774,17.4270369963242,0.108071562562089,17.743239735028,0.207882765914378,2.82641558431916,0.0591037918811959,6.00067144601252,0.586955892485098,0.5
28,0.0947668422827119,393.946812824172,0.0281725094501984,6.82652829338786,0.497870428416363,29.3191786427473,1,27.013352529984,0.444444806931343,0.5
29,0.264989718327699,4.34707057589364,0.267688900504265,4.18556453913976,1,0.967289238925859,0.0661789744011751,4.51545796918381,0.533333736542487,0.5
30,0.144375662392064,378.152958566494,0.0714764751963775,4.86813253347797,1,17.6369649253576,1,30.3936204904147,0.369565849128543,0.5
31,0.162478110776352,102.396502583277,0.16247815744181,102.396472783084,0.0439737321112174,0,0.0642679127318361,6.49452164193149,0.382020508538203,0.5
32,0.0677668104857216,37.4003096971436,0.382396727091205,8.06405940540397,0.053451436045584,11.396474514373,0.00241370028470416,250,0.35164873662791,0.5
33,0.109711037077258,268.006123968118,0,6.87178516428707,1,27.5900932012094,1,32.0273090918405,0.444444750372433,0.5
34,0.000963122224920683,400,0.323230892629728,6.16073793185408,0.350702506367993,4.40258590268678,0.000559243732030175,250,0.466666765830723,0.5
35,0.196179239145277,4.71829716032743,0.217971726900584,4.22099088694741,3.57858631016888e-05,250,0.0851279901559009,3.67314695200108,0.516854315448825,0.5
36,0.0181877486513744,57.4232826763983,0.140045786863888,5.98405314524125,0.0499618375106088,5.035550070623,0.0948289217665502,6.11495916208388,0.608696683800862,0.5
37,0.000334542193135348,400,0.00242625937983954,179.887388234126,0.0789819710194735,7.25551974582085,0.00110750210039982,250,0.847826561168897,0.5
38,0.187276305485936,13.3835306357528,0.187275522446735,13.3837618205843,0.484981318405407,0,0.151023825695729,3.39845064862458,0.42222392260806,0.5
39,0.014895154357932,55.5604094868733,0.0761665374112576,11.0964053668538,0.000408851140781696,250,0.0658458137130355,8.18742264832312,0.558139878906232,0.5
40,0.000678897283043498,400,0.0186025925646915,48.6136761678281,0.207000650301434,7.4922451076262,0.32520373068704,3.99117450561729,0.666667378765242,0.5
